,project_id,visitor_id,experiment_id,uid,status,is_mobile,created_at,experiment_name,platform
1393,21,54219,49.0,6RYaGKAw5t9y1AYbkNiUoF,complete,1,2023-12-07 11:59:20,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1402,21,54363,49.0,0loTwnEW2yqPeHaRudnFiI,complete,0,2023-12-07 13:10:49,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1406,21,54387,49.0,4pAIl6nHoWpXikX026s5gx,complete,1,2023-12-07 13:18:46,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1412,21,54423,49.0,0m7E8Yat3u4zuex4oSakYB,complete,0,2023-12-07 13:26:42,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1436,21,54597,49.0,2PXSkFnLseoRSrSSp5eeOV,complete,1,2023-12-07 15:14:47,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1438,21,54617,49.0,0NpohzoKsZznZNVDwCyJAz,complete,1,2023-12-07 15:26:31,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1446,21,54717,49.0,3SXvx8oxjR0LvWq7XgCWLg,complete,1,2023-12-07 16:43:11,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1448,21,54724,49.0,2B7vdhF0qBIKdt7b9WNRPZ,complete,1,2023-12-07 16:46:20,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1468,21,54813,49.0,3tW2Zy12VGKwbfDm72mw5q,complete,0,2023-12-07 17:12:31,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1477,21,54844,49.0,3gl8HtRr8IT7vPtVbnf37I,complete,1,2023-12-07 17:20:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1479,21,54893,49.0,5oPUrmPA0WTwpQGg8JlkNT,complete,1,2023-12-07 17:38:16,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1483,21,54914,49.0,4HIF072VOhzawDZnLS1r5C,complete,1,2023-12-07 17:43:26,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1487,21,54926,49.0,5rPMhHUO7fiptAXJYlFJDt,complete,1,2023-12-07 17:52:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1489,21,54959,49.0,6huQICfaUP7doOZGpV0Ekl,complete,1,2023-12-07 18:07:32,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1522,21,55231,49.0,3yTmWgOIh8neDtTGUlqs0F,complete,1,2023-12-07 20:04:26,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1531,21,55337,49.0,5IpzOdsfbZDijb8iUeUF9w,complete,1,2023-12-07 20:26:52,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1533,21,55354,49.0,7xIkWlXqgQjIexIU3N43FL,complete,0,2023-12-07 20:32:28,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,desktop
1534,21,55369,49.0,5PZYN1pCC5aJOi8YFe8S3x,complete,1,2023-12-07 20:43:43,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1538,21,55450,49.0,0uRycGCcdQ7YxKAQ1dpMXy,complete,1,2023-12-07 21:27:54,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1541,21,55467,49.0,1e7dnM4mZDY1unIVjm1HWt,complete,1,2023-12-07 21:46:50,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1546,21,55576,49.0,0AETTlkChm5KacQ0LujNRq,complete,1,2023-12-07 23:46:29,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1549,21,55611,49.0,1QOnOnEu41IoVHggE4i5Ky,complete,1,2023-12-08 00:54:25,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1556,21,55717,49.0,468Jbnlp8voj3cdkckRToB,complete,1,2023-12-08 05:27:46,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1572,21,55858,49.0,5VrRIvUli2yYqjcML1SOdm,complete,1,2023-12-08 06:16:42,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1591,21,55969,49.0,3opUsn8WkD5e4CtHBcW3BB,complete,1,2023-12-08 07:10:31,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
1602,21,56224,49.0,6bSkp0Rk72f6tDFdlKu3OJ,complete,1,2023-12-08 10:54:55,Leg 1: Showcase randomly 5 PDP + RP. No videos at all,mobile
